Pattern,appears_expected,found_kmp,found_dfa,time_kmp,time_dfa,lineNumber_kmp,lineNumber_dfa
the,true,true,true,3270,20386,1,1
of,true,true,true,44,570,1,1
and,true,true,true,92,1302,4,4
a,true,true,true,61,281,1,1
to,true,true,true,49,1867,1,1
in,true,true,true,52,989,2,2
is,true,true,true,124,961,1,1
you,true,true,true,97,1280,8,8
that,true,true,true,205,2179,80,80
it,true,true,true,62,1378,4,4
he,true,true,true,109,1017,1,1
was,true,true,true,183,1624,61,61
for,true,true,true,74,1424,4,4
on,true,true,true,43,943,1,1
are,true,true,true,61,861,8,8
as,true,true,true,57,506,16,16
with,true,true,true,66,1486,5,5
his,true,true,true,50,463,4,4
they,true,true,true,286,1204,87,87
I,true,true,true,41,979,8,8
at,true,true,true,51,378,1,1
be,true,true,true,172,658,1,1
this,true,true,true,73,1553,7,7
have,true,true,true,124,3722,8,8
from,true,true,true,330,1377,62,62
or,true,true,true,45,3522,1,1
one,true,true,true,60,5683,4,4
had,true,true,true,462,6915,121,121
by,true,true,true,285,508,1,1
word,true,true,true,360,1696,200,200
but,true,true,true,140,1605,68,68
not,true,true,true,388,664,8,8
what,true,true,true,66,2548,6,6
all,true,true,true,119,1183,81,81
were,true,true,true,3456,535,93,93
we,true,true,true,95,510,75,75
when,true,true,true,95,1068,63,63
your,true,true,true,4460,146968,9291,9291
can,true,true,true,77,1983,87,87
said,true,true,true,103,1127,87,87
there,true,true,true,361,9886,914,914
use,true,true,true,182,484,4,4
an,true,true,true,152,365,2,2
each,true,true,true,699,4489,486,486
which,true,true,true,64,2107,79,79
she,true,true,true,45,484,69,69
do,true,true,true,45,630,47,47
how,true,true,true,195,6280,514,514
their,true,true,true,89,1191,87,87
if,true,true,true,72,1370,79,79
will,true,true,true,96,1566,164,164
up,true,true,true,54,565,70,70
other,true,true,true,60,540,5,5
about,true,true,true,72,1565,63,63
out,true,true,true,55,546,63,63
many,true,true,true,677,4644,175,175
then,true,true,true,128,1673,164,164
them,true,true,true,153,1465,152,152
these,true,true,true,104,1469,154,154
so,true,true,true,27,207,6,6
some,true,true,true,69,1551,84,84
her,true,true,true,43,331,4,4
would,true,true,true,349,9065,1079,1079
make,true,true,true,188,1531,151,151
like,true,true,true,79,1691,76,76
him,true,true,true,111,2507,183,183
into,true,true,true,84,1312,99,99
time,true,true,true,59,502,62,62
has,true,true,true,119,1146,74,74
look,true,true,true,1383,27543,2387,2387
two,true,true,true,75,2643,97,97
more,true,true,true,71,766,87,87
write,true,true,true,110,691,182,182
go,true,true,true,105,847,199,199
see,true,true,true,46,291,69,69
number,true,true,true,145,617,191,191
no,true,true,true,43,2011,5,5
way,true,true,true,61,317,6,6
could,true,true,true,137,1269,117,117
people,true,true,true,363,3313,857,857
my,true,true,true,72,527,124,124
than,true,true,true,127,656,111,111
first,true,true,true,55,325,61,61
water,true,true,true,187,1435,341,341
been,true,true,true,70,428,85,85
call,true,true,true,315,2823,913,913
who,true,true,true,74,944,66,66
oil,true,true,true,98,808,130,130
its,true,true,true,52,793,68,68
now,true,true,true,350,314,69,69
find,true,true,true,255,3732,861,861
long,true,true,true,70,428,107,107
down,true,true,true,258,2071,882,882
day,true,true,true,114,385,108,108
did,true,true,true,1836,5933,1064,1064
get,true,true,true,104,291,72,72
come,true,true,true,1028,2253,861,861
made,true,true,true,62,234,28,28
may,true,true,true,73,287,6,6
part,true,true,true,105,680,5,5
